rank,participant_id,elapsed_minutes,runs_with_value,mean_best_feasible_loss,std_best_feasible_loss,sem_best_feasible_loss,median_best_feasible_loss,minimum_best_feasible_loss,maximum_best_feasible_loss,exact_run_count,sampled_upper_bound_run_count,missing_run_count
22,aniketnegi,60,10,1.3029182761907578,0.5963665694571052,0.18858766798654578,1.5935711860656738,0.2065463364124298,1.9030083417892456,0,10,0
22,aniketnegi,120,10,0.6447026210511575,0.34585051179201065,0.10936753471976758,0.5438746971313402,0.1944436877965927,1.4622923135757446,1,9,0
22,aniketnegi,180,10,0.6124363644260733,0.3344582102423677,0.10576497265093383,0.515721592377817,0.18165285885334015,1.428477168083191,4,6,0
22,aniketnegi,240,10,0.5693856548998084,0.27775721985005136,0.08783454512822945,0.49240100581693136,0.17547698852390642,1.1938648564417664,10,0,0
23,hocayi,15,10,2.889023172855377,1.208433601894082,0.38214025830664644,2.9043221473693848,1.3214794397354126,4.461373329162598,0,10,0
23,hocayi,30,10,2.0880897998809815,1.3211900493755824,0.4177969777977162,2.0606821179389954,0.5631933212280273,4.130155086517334,0,10,0
23,hocayi,60,10,1.070854463573648,0.6702833583151261,0.21196220899825602,0.9981304407119751,0.4137841463088989,2.4550578594207764,1,9,0
23,hocayi,120,10,0.8408524447643295,0.6321823966056646,0.19991362699377993,0.5683910846710205,0.3426118493080139,2.3842320442199707,1,9,0
23,hocayi,180,10,0.6043695172431275,0.29263133413109454,0.09253815305880288,0.5547623932361603,0.3188122358184475,1.361435890197754,4,6,0
23,hocayi,240,10,0.5752075426526408,0.2948914116619675,0.09325285232741568,0.4726216918009858,0.3188122358184475,1.3562881138303176,10,0,0
24,nya-a-cat,15,10,2.853596603870392,0.9581898726321414,0.30300624284242056,2.918330192565918,0.9584130048751831,3.994373083114624,0,10,0
24,nya-a-cat,30,10,1.307681965827942,0.4915158596488188,0.1554309622585916,1.3358315229415894,0.5122833847999573,2.276925563812256,0,10,0
24,nya-a-cat,60,10,0.8342541188001633,0.4759612190266107,0.15051215300343598,0.7032317221164703,0.41663283109664917,1.9309489727020264,0,10,0
24,nya-a-cat,120,10,0.6711810648441314,0.4811520453833824,0.15215363642601923,0.4297541677951813,0.22722744941711426,1.8521026372909546,0,10,0
24,nya-a-cat,180,10,0.6553919702768326,0.4772704935565288,0.15092618196313473,0.42512838542461395,0.15771961212158203,1.8096692562103271,0,10,0
24,nya-a-cat,240,10,0.617681998780953,0.4387430329065222,0.13874272915148153,0.4234702770218803,0.14471614872103977,1.7346571928650065,10,0,0
25,lodev,15,10,1.2734605222940445,1.150269633553011,0.36374719653547544,0.7400813698768616,0.43793627619743347,3.8994698524475098,0,10,0
25,lodev,30,10,1.1025688290596007,1.1380426639487484,0.3598806892523637,0.5902717709541321,0.4149026572704315,3.892043352127075,0,10,0
25,lodev,60,10,1.0020745664834976,1.121242311707419,0.35456795139479214,0.5070439428091049,0.4149026572704315,3.892043352127075,0,10,0
25,lodev,120,10,0.8044363468885422,0.7759861999073757,0.24538838245660483,0.44982603192329407,0.38628190755844116,2.8558034896850586,0,10,0
25,lodev,180,10,0.6431978352258203,0.6720921174776164,0.21253418886747283,0.4225094711036669,0.283991277217865,2.5301773432288175,2,8,0
